word,meaning,translation,root,type,process meaning,normalized form
ipét,tightness; become tight (on -),tense,pét,prefix,theme/goal or benefactive focus (non-completed),ipet
ipíl,shrubby variety of acacia,ipil,píl,prefix,theme/goal or benefactive focus (non-completed),ipil
ipón,very small fish often made into inasín,anchovy,pón,prefix,theme/goal or benefactive focus (non-completed),ipon
irá,see da,they,rá,prefix,theme/goal or benefactive focus (non-completed),ira
írap,"hardships, torment; be difficult (on -); suffer (man -)",trial,írap,-,-,irap
maírap,"difficult, hard (emotionally)",difficult,írap,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",mairap
mamaírap,the poor,poor,írap,nasal_prefix,"actor focus (nasal-assimilating, non-completed)",mamairap
irí,"indecision, restlessness, vacillation",hesitation,rí,prefix,theme/goal or benefactive focus (non-completed),iri
iróg,gold which is dirty or impure; dress with garish colors,tinsel,róg,prefix,theme/goal or benefactive focus (non-completed),irog
iróñg,to sit (on -),sit,róñg,prefix,theme/goal or benefactive focus (non-completed),irong
iroñgán,"chair, bench, suite of furniture",seat,roñgán,prefix,theme/goal or benefactive focus (non-completed),irongan
isá,one (= sakéy ),one,sá,prefix,theme/goal or benefactive focus (non-completed),isa
isáw,animal to be used as food,offal,sáw,prefix,theme/goal or benefactive focus (non-completed),isaw
ísla,island,island,ísla,-,-,isla
ísip,mind; to think (man- ),think,ísip,-,-,isip
kaísipán,"voice, opinion",opinion,kaísipán,-,-,kaisipan
isís,to scour (man -),scrubbing,sís,prefix,theme/goal or benefactive focus (non-completed),isis
isnéto,to adjust to something (man -),adapt,sné,prefix,theme/goal or benefactive focus (non-completed),isneto
1itá,see ta,we two,1itá,-,-,1ita
2itá,"to go ahead of someone, invite to follow",usher,2itá,-,-,2ita
itáw,term of address used to girl playmate whose name etc. is unknown to speaker (not used by adults),girl,táw,prefix,theme/goal or benefactive focus (non-completed),itaw
itér,to give (maN -),give,tér,prefix,theme/goal or benefactive focus (non-completed),iter
naitdán,given,given,naitdán,-,-,naitdan
ítik,native duck,duck,ítik,-,-,itik
ití,see ti,we,tí,prefix,theme/goal or benefactive focus (non-completed),iti
íto,small catfish,catfish,í,suffix,3sg genitive enclitic,ito
itsúra,"kind, face, appearance",appearance,tsúra,prefix,theme/goal or benefactive focus (non-completed),itsura
íwas,"to shift one’s position, shift something, but not away from general area in which it is situated (on -)",shift,íwas,-,-,iwas
íwi,care of or for animals,animal care,íwi,-,-,iwi
íyan,see yan,contents,íy,suffix,locative/referent focus (non-completed),iyan
ka,"you, sg., familiar (topic pronoun)",you,ka,-,-,ka
siká,"you, sg. familiar (independent pronoun)",you,siká,-,-,sika
kabakáb,"covered with any kind of skin disease (na-, a-)",scabbed,kabakáb,-,-,kabakab
kabán,"cavan, a dry measure approximately equivalent to a bushel; a trunk for storing clothes etc.; deposit",chest,kabán,-,-,kaban
kabarét,"cabaret, night club",cabaret,kabarét,-,-,kabaret
kábat,to know (man -); knowledge; acquaintance,know,kábat,-,-,kabat
pakábat,"to inform (mañgi -); advertisement, notice, announcement",notice,kábat,prefix,causative/allowative,pakabat
sankakábat,"intimate, close associate",intimate,sankakábat,-,-,sankakabat
kabátyan,female,female,kabáty,suffix,locative/referent focus (non-completed),kabatyan
kabáyo,horse; to ride a horse (on -),horse,kabá,suffix,2pl genitive enclitic,kabayo
kabkabáyo,toy horse,toy horse,kabá,suffix,2pl genitive enclitic,kabkabayo
kábil,"to attack, whip, punish",attack,kábil,-,-,kabil
kabít,attach; joint; share a part,attach,kabít,-,-,kabit
kabkáb,to gnaw; body dirt,gnaw,kabkáb,-,-,kabkab
káblit,to touch lightly,tap,káblit,-,-,kablit
kábtang,duty,duty,kábtang,-,-,kabtang
kádkad,to scrape,scrape,kádkad,-,-,kadkad
kagáy,to shave (man -),shave,kagáy,-,-,kagay
kágter,"privilege, opportunity",privilege,kágter,-,-,kagter
cajÉro,cashier,cashier,cajÉro,-,-,cajero
kahón,box,box,kahón,-,-,kahon
káhoy,"cassava kaíli, sankaíli alien, foreigner, stranger",foreigner,káhoy,-,-,kahoy
kaláb,"to climb a tree, well, etc. (on -)",climb,kaláb,-,-,kalab
kálaba,"honeycomb, similar nest of insect",hive,kálaba,-,-,kalaba
kaladkád,rake made from bamboo or wood,rake,kaladkád,-,-,kaladkad
kalaéng,small clay stove,stove,kalaéng,-,-,kalaeng
kalág,interpreted dream,lucid dream,kalág,-,-,kalag
kalákal,"do well, behave well (man -); intelligence, good judgement",behaved,kalákal,-,-,kalakal
kalamansí,"small citrus fruit, somewhat like lime",kalamansi,kalamansí,-,-,kalamansi
kalamór,"the pity of it! pathetic, grieving",grieve,kalamór,-,-,kalamor
kalánsing,tinkle (man -),tinkle,kalánsg,infix,completed aspect marker,kalansing
kálap,to catch fish with a net (man -),net,kálap,-,-,kalap
kalás,clean cane by removing the nodes,strip,kalás,-,-,kalas
kalát,to bite,bite,kalát,-,-,kalat
kalatkát,mixture of distinct entities,blend,kalatkát,-,-,kalatkat
kaláwit,stick or pole for reaching fruits; to gather fruits etc. by means of a kaláwit,gather (fruit),kaláwit,-,-,kalawit
kaláykay,cluster of fruits or nuts; rake,rake,kaláykay,-,-,kalaykay
kálbo,"to pour over (man -, mañgi -)",douse,kálbo,-,-,kalbo
kaldÉro,"deep cooking pot, kettle",kettle,kaldÉro,-,-,kaldero
kalí,gold mine,gold mine,kalí,-,-,kali
káling,to dry fish in the sun or over fire; dried salted fish,cure,kálg,infix,completed aspect marker,kaling
kális,chalice,chalice,kális,-,-,kalis
kálitkálit,ankle,ankle,kálit,reduplication,full reduplication (intensifier/frequentative),kalitkalit
kalkál,to unwind,relax,kalkál,-,-,kalkal
kálna,be slow,lag,kálna,-,-,kalna
makálna,slow,slow,kálna,prefix,causative / stative,makalna
kaló,movable pulley,movable pulley,kaló,-,-,kalo
kalobása,calabash gourd used as a vegetable,calabash,kalobása,-,-,kalobasa
kalóg,to shake up and down (man -),shake,kalóg,-,-,kalog
kalóng,basket made of palm leaves,basket,kalóng,-,-,kalong
kalúpi,"cigarette case, wallet, or similar container",case,kalúpi,-,-,kalupi
kaluskus,rustling noise,rustle,kaluskus,-,-,kaluskus
1kalót,edible tuber,tuber,1kalót,-,-,1kalot
2kalót,to roast (mañgi -),roast,2kalót,-,-,2kalot
kamá,to touch with the hand (man -),touch,kamá,-,-,kama
kamanéw,white spots on skin; skin disease causing this,skin disease,kamanéw,-,-,kamanew
kamálir,granary,granary,kamálir,-,-,kamalir
kamarérua,soul,soul,kamarérua,-,-,kamarerua
panagkamarérua,All Souls’ Day,All Souls’ Day,agkamarérua,nasal_prefix,causative/instrumental nasal-assimilating,panagkamarerua
kamátis,tomato,tomato,kamátis,-,-,kamatis
kamés,to mix,mix,kamés,-,-,kames
kamí,see mi,we,kamí,-,-,kami
kamisadEntro,shirt,shirt,kamisadEntro,-,-,kamisadentro
kamisÉta,undershirt,undershirt,kamisÉ,suffix,1du inclusive genitive enclitic,kamiseta
kámot,raise food to the mouth; eat with the hands,eat with one’s hands,kámot,-,-,kamot
kamóro,pimples,pimples,kamóro,-,-,kamoro
kamótE,"camote, sweet potato",yam,kamótE,-,-,kamote
kamótEng káhoy,cassava,cassava,kamótEng káhoy,-,-,kamoteng kahoy
kampána,bell,bell,kampána,-,-,kampana
kámpay,act of flying; spreading the wings,flying,kámpay,-,-,kampay
kámpit,big kitchen knife,kitchen knife,kámpit,-,-,kampit
kámpo,camp (army camp etc.),camp,kámpo,-,-,kampo
kamposánto,cemetery,cemetery,kamposán,suffix,3sg genitive enclitic,kamposanto
kan,to eat (maN -),eat,k,suffix,locative/referent focus (non-completed),kan
kánen,food (mlt. kakanen ‘things to eat’),food,kán,suffix,patient focus (non-completed),kanen
nakán,food,food,nakán,-,-,nakan
pakán,to feed; to serve food (mañgi -),serve,kán,prefix,causative/allowative,pakan
kaná,"to serve for something, be fit, advantageous",suit,kaná,-,-,kana
ikaná,ingredients,ingrediants,kaná,prefix,theme/goal or benefactive focus (non-completed),ikana
kakanáan,"use, effect",use,kaná,suffix,locative/referent focus (non-completed),kakanaan
kanáw,"to mix, stir",stir,kanáw,-,-,kanaw
kanawnáwa,"easy, comfortable; be easy, comfortable (man -) (also kanawánáwa )",relax,kanawnáwa,-,-,kanawnawa
kanáyon,relative,relative,kanáyon,-,-,kanayon
kandádo,padlock,padlock,kandádo,-,-,kandado
kandidáto,(m.) candidate (usu. for political office),candidate (political),kandidá,suffix,3sg genitive enclitic,kandidato
kandidáta,(f.) candidate (usu. for queen of fiesta (etc.),candidate (fiesta),kandidá,suffix,1du inclusive genitive enclitic,kandidata
kandíla,candle,candle,kandíla,-,-,kandila
kandíng,goat,goat,kandíng,-,-,kanding
kandóng,tree with round leaves used in the preparation of dye,Indigo tree,kandóng,-,-,kandong
kanéyney,"moderate, just enough",moderate,kanéyney,-,-,kaneyney
kanián,"therefore, so, accordingly",therefore,kanián,-,-,kanian
kanión,home-made miniature cannon fashioned from bamboo tubing,bamboo tubing,kanión,-,-,kanion
kankantí,firefly,firefly,kantí,reduplication,partial reduplication (plural nouns),kankanti
kánot,fibrous part of the langka fruit,jackfruit fiber,kánot,-,-,kanot
cáncEr,cancer,cancer,cáncEr,-,-,cancer
kansión,song; to sing (maN -),song,kansión,-,-,kansion
kansionán,singing contest esp. where a pair composed of a man and woman debate each other in song,singing duel,kansionán,-,-,kansionan
kánta,to sing (maN -),sing,kán,suffix,1du inclusive genitive enclitic,kanta
kañgkáñg,shake off dress; spread out to dry,shake out,kañgkáñg,-,-,kangkang
káñgkoñg,"Ipomea reptans, a vine similar to camote, used as a green vegetable",water spinach,káñgkoñg,-,-,kangkong
kaót,"get something from a closet, packet, etc. (man -)",get,kaót,-,-,kaot
kápa,"collar, hood",hood,kápa,-,-,kapa
kapá,feel for with the hands,grope,kapá,-,-,kapa
kapál,thickness; become thick (on -),thickness,kapál,-,-,kapal
makapál,thick,thick,kapál,prefix,causative / stative,makapal
kapáy,make a stroke in swimming,stroke,kapáy,-,-,kapay
cafÉ,coffee,coffee,cafÉ,-,-,cafe
kapés,cotton,cotton,kapés,-,-,kapes
kapigán,when (interrogative),when,kapigán,-,-,kapigan
kápis,sack not filled to capacity; empty stomach,empty,kápis,-,-,kapis
kápit,"seedless, immature fruit",seedless,kápit,-,-,kapit
kapitán,captain,captain,kapitán,-,-,kapitan
kapkáp,"feel, touch with the palm of the hands",palpate,kapkáp,-,-,kapkap
kápol,mixture for filling up hole etc.; to fill with wax etc.,filler,kápol,-,-,kapol
kapót,lid; to close (man -),close,kapót,-,-,kapot
kápoy,"weakness, debility",weakness,kápoy,-,-,kapoy
makápoy,"weak, ineffectual, inferior, in poor condition",weak,kápoy,prefix,causative / stative,makapoy
karág,to stamp the foot heavily,stamp,karág,-,-,karag
karakkák,laughter,laughter,karakkák,-,-,karakkak
kárang,shelter made of nipa and placed on boat or carabao cart,nipa shelter,kárang,-,-,karang
karápas,"touch, come across",touch,karápas,-,-,karapas
kárat,person or animal just recovering from illness; thin‚ emaciated,recovering,kárat,-,-,karat
káraw,"to go courting (on -, man -)",courting,káraw,-,-,karaw
kargá,"to fill, put into",fill,kargá,-,-,karga
karí,adverb indicating intensity,intensifier,karí,-,-,kari
karinyó,affection,affection,karyó,infix,completed aspect marker,karinyo
makarinyó,"affectionate, romantic",affectionate,karyó,prefix,causative / stative,makarinyo
kárit,to extract the juice of the nipa palm for making vinegar; a small sickle used for cutting nipa for this purpose,sickle,kárit,-,-,karit
karitón,"cart, esp. oblong cart pulled by carabao; to carry produce etc. in a cart",cart,karitón,-,-,kariton
kakaríton,"baby cart, pushchair",stroller,karíton,reduplication,partial reduplication (plural nouns),kakariton
cárnE,meat,meat,cárnE,-,-,carne
karnÉro,"sheep, mutton, lamb",mutton,karnÉro,-,-,karnero
cáro,"funeral car, hearse",funeral car,cáro,-,-,caro
karól,thunder,thunder,karól,-,-,karol
káromán,yesterday,yesterday,káromán,-,-,karoman
karúsa,float of queen during fiesta parade,float of queen during fiesta parade,karúsa,-,-,karusa
karót,to pinch,pinch,karót,-,-,karot
karsáda,road,road,karsá,suffix,3pl genitive enclitic,karsada
cárcel,"jail, prison",prison,cárcel,-,-,carcel
karsón,"pants, trousers",pants,karsón,-,-,karson
kartaplúma,pocket knife,pocket knife,kartaplúma,-,-,kartapluma
cartÉro,postman,postman,cartÉro,-,-,cartero
cartÉlEs,streamers,streamers,cartÉlEs,-,-,carteles
kasál,marriage,marriage,kasál,-,-,kasal
pankasalán,site of the wedding reception,wedding venue,kasalán,nasal_prefix,causative/instrumental nasal-assimilating,pankasalan
kasalánan,"sin, fault, defect",sin,kasalán,suffix,locative/referent focus (non-completed),kasalanan
kásel,"to give voice to emotion, thoughts, etc.",express,kásel,-,-,kasel
makásel,able to express feelings etc.,able,kásel,prefix,causative / stative,makasel
kasEróla,casserole,casserole,kasEróla,-,-,kaserola
kási,mercy; show mercy to (-an ),mercy,kási,-,-,kasi
pikási,request mercy or favors,please,pikási,-,-,pikasi
kasí,"isn’t it?, surely, don’t you think?",right?,kasí,-,-,kasi
kasiá,the first time,first time,kasiá,-,-,kasia
kásig,outrigger made of bamboo,outrigger,kásig,-,-,kasig
kásil,"power, vigor, strength, health",vigor,kásil,-,-,kasil
maksíl,"strong, forceful; healthy",strong,ksíl,prefix,causative / stative,maksil
kasílyas,toilet,toiler,kasílyas,-,-,kasilyas
káso,"case, event",case,káso,-,-,kaso
kastíla,"Spaniards, Spanish",Spanish,kastíla,-,-,kastila
katáo,person,person,katáo,-,-,katao
sansankatáo,a single individual,individual,sankatáo,reduplication,partial reduplication (plural nouns),sansankatao
katát,leather,leather,katát,-,-,katat
katawán,"lord, master",master,katawán,-,-,katawan
Diós ya Katawán,‘The Lord God’,God,Diós ya Katawán,-,-,dios ya katawan
katáy,saliva,saliva,katáy,-,-,katay
káti,low tide; go out (of the tide) (on -),low tide,káti,-,-,kati
kátli,scissors; cut with scissors (maN -); use scissors (man -),scissors,kátli,-,-,katli
kátneb,"put in a hole, bury in a hole (mañgi -)",bury,kátneb,-,-,katneb
katólañgán,parents-in-law; to have a son- or daughter-in-law (maN-),in-laws,katólañgán,-,-,katolangan
católico,Roman Catholic,Roman Catholic,católico,-,-,catolico
katórse,fourteen,fourteen,katórse,-,-,katorse
cátsup,"ketchup, tomato sauce",tomato sauce,cátsup,-,-,catsup
káwa,small caldron,caldron,káwa,-,-,kawa
káwal,to alter course,veer,káwal,-,-,kawal
kawáli,deep frying pan,frying pan,kawáli,-,-,kawali
káwanán,right hand,right hand,káwanán,-,-,kawanan
1kawás,"to diminish, reduce (maN-)",diminish,1kawás,-,-,1kawas
2kawás,walk with wide strides,stride,2kawás,-,-,2kawas
"kawasá, andínakawasá","to be destitute, without hope of work or means of livelihood",impoverished,"kawasá, andínakawasá",-,-,"kawasa, andinakawasa"
káwat,wine,wine,káwat,-,-,kawat
kawayán,bamboo,bamboo,kawayán,-,-,kawayan
kawés,"clothes, clothing; to dress (man - (oneself), maN -)",clothes,kawés,-,-,kawes
kawéy,"beckon; get somewhere, find a place",beckon,kawéy,-,-,kawey
kawigí,the left hand,the left hand,kawigí,-,-,kawigi
kawíl,large fishhook,fishhook,kawíl,-,-,kawil
kawíñg,link in a chain; to link with chain or cord,link,kawíñg,-,-,kawing
kawkáw,to wash the private parts with water,wash private part,kawkáw,-,-,kawkaw
káya,"advantage, ability to do something",advantage,káya,-,-,kaya
kayás,to clean a cane or reed by scraping it,scrape,kayás,-,-,kayas
káykay,cleaning material,cleaning material,káykay,-,-,kaykay
